#,Region/ المنطقة,PC Code/ رمز مركز الانتخاب,Office #/ الللجنة الانتخابية #,Office/ الللجنة الانتخابية ,Main C/ الدائرة الانتخابية الرئيسية,SubC # / رقم الدائرة الفرعية ,SubC name / الدائرة الفرعية,Name PC,Mahalla / المحلة,Village / المدينة/القرية,نوع المركز / Type,E  خط العرض   / Coordinates E,N  خط العرض   / Coordinates N
1,  الغربية ,11001,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,عمر بن الخطاب,الظهرة -تنيناي الوادي,بني وليد - تنيناي,عام,13.980153,31.745111
2,  الغربية ,11002,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,اشميخ,اشميخ,بني وليد - اشميخ,عام,13.960358,31.433803
3,  الغربية ,11003,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,مدرسة النجم الساطع,الظهرة,بني وليد,عام,13.9684916666667,31.7482416666667
4,  الغربية ,11004,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,إفريقيا,الظهرة,بني وليد,عام,13.756214,31.388803
5,  الغربية ,11005,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,الفاروق,الظهرة,بني وليد,عام,13.977233,31.751061
6,  الغربية ,11006,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,افاق المستقبل,الظهرة,بني وليد,عام,13.990222,31.741153
7,  الغربية ,11007,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,الإمام مالك إبن أنس,التنية البيضاء,بني وليد,عام,13.97175,31.742497
8,  الغربية ,11008,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,مدرسة الامام ورش,التنية البيضاء,بني وليد,عام,13.9906361111111,31.7462333333333
9,  الغربية ,11009,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,بدر الكبرى,التنية البيضاء,بني وليد,عام,13.983042,31.751636
10,  الغربية ,11010,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,الشهيد حافظ المدني,البلدية,بني وليد,عام,14.007325,31.744042
11,  الغربية ,11011,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,القدس,البلدية,بني وليد,عام,14.015147,31.750139
12,  الغربية ,11012,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,سناء محيدلي,البلدية,بني وليد,عام,14.016286,31.745083
13,  الغربية ,11013,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,محمد جمال الدرة,البلدية,بني وليد,عام,14.031711,31.741639
14,  الغربية ,11014,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,علي بن أبي طالب,سوف الجين,بني وليد,عام,14.048922,31.764694
15,  الغربية ,11015,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم., قضوار السهولي,سوف الجين,بني وليد,عام,14.05122,31.755016
16,  الغربية ,11016,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,خالد بن الوليد,أبو راس,بني وليد,عام,14.068783,31.793536
17,  الغربية ,11017,1,سرت,سرت,1,بني وليد - تاورغاء - بوقرين - الوشكة - زمزم - بونجيم.,مدرسة اسامة بن زيد ,أبو راس,بني وليد,عام,14.0846666666667,31.7862
